"","parishcode","monthyear_date","site","cases","denominator","incidence_ppy","months_since_LLIN","months_since_irs","irs_site","housing","dist_road","dist_water","slope","elevation","night_lights","population_density","city_access","EVI_l0","EVI_l1","EVI_l2","EVI_l3","precip_l0","precip_l1","precip_l2","precip_l3","LST_day_l0","LST_day_l1","LST_day_l2","LST_day_l3","LST_night_l0","LST_night_l1","LST_night_l2","LST_night_l3"
"1",1030701,"2020-10-01","lira_kato",1,24.2852881690234,0.494126316989985,40,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.400135029451516,0.419220156051202,0.410397313991615,0.399368786180454,269.247999404095,160.373909018756,223.89177991705,152.926555085551,27.0491525561396,28.2621607895155,28.1702139742671,28.9956665504221,18.639788797244,18.8686119457085,18.8536128995917,18.7476707782809
"2",1030701,"2020-11-01","lira_kato",1,24.2852881690234,0.494126316989985,0,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.351064918670972,0.400135029451516,0.419220156051202,0.410397313991615,91.0257495643471,269.247999404095,160.373909018756,223.89177991705,28.8094569218211,27.0491525561396,28.2621607895155,28.1702139742671,18.9749492236302,18.639788797244,18.8686119457085,18.8536128995917
"3",1030701,"2020-08-01","lira_kato",1,24.2852881690234,0.494126316989985,38,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.410397313991615,0.399368786180454,0.401386633867259,0.41695190163506,223.89177991705,152.926555085551,128.562694561307,151.352876636451,28.1702139742671,28.9956665504221,27.3117267280722,30.5013970806881,18.8536128995917,18.7476707782809,18.1294408646217,20.4030346495689
"4",1030701,"2020-07-01","lira_kato",1,24.2852881690234,0.494126316989985,37,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.399368786180454,0.401386633867259,0.41695190163506,0.420453039394222,152.926555085551,128.562694561307,151.352876636451,120.498583570902,28.9956665504221,27.3117267280722,30.5013970806881,41.9941678740713,18.7476707782809,18.1294408646217,20.4030346495689,21.4285886166765
"5",1030701,"2020-12-01","lira_kato",1,24.2852881690234,0.494126316989985,1,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.298393560267954,0.351064918670972,0.400135029451516,0.419220156051202,19.2235576734177,91.0257495643471,269.247999404095,160.373909018756,27.8648910417059,28.8094569218211,27.0491525561396,28.2621607895155,18.4012790289713,18.9749492236302,18.639788797244,18.8686119457085
"6",1030701,"2020-06-01","lira_kato",3,24.2852881690234,1.48237895096996,36,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.401386633867259,0.41695190163506,0.420453039394222,0.329468658976213,128.562694561307,151.352876636451,120.498583570902,223.116038887795,27.3117267280722,30.5013970806881,41.9941678740713,45.3501040686933,18.1294408646217,20.4030346495689,21.4285886166765,22.7255327630989
"7",1030701,"2020-09-01","lira_kato",2,24.2852881690234,0.988252633979971,39,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.419220156051202,0.410397313991615,0.399368786180454,0.401386633867259,160.373909018756,223.89177991705,152.926555085551,128.562694561307,28.2621607895155,28.1702139742671,28.9956665504221,27.3117267280722,18.8686119457085,18.8536128995917,18.7476707782809,18.1294408646217
"8",1030701,"2020-05-01","lira_kato",1,24.2852881690234,0.494126316989985,35,0,0,0.0701970312010615,2.6221694613013,5.22465135386374,3.4216272831867,1146.55849483368,0,136.720772525891,77.7718249242259,0.41695190163506,0.420453039394222,0.329468658976213,0.256490665250513,151.352876636451,120.498583570902,223.116038887795,22.2194956298677,30.5013970806881,41.9941678740713,45.3501040686933,42.212357717371,20.4030346495689,21.4285886166765,22.7255327630989,21.9447307708334
"9",1030702,"2020-05-01","lira_kato",254,360.059059153563,8.46527791069978,35,0,0,0.0760999238920549,1.3045974160164,11.6195340050747,1.48015000397077,1081.60117197278,0,67.5420203541379,51.5248679868243,0.409769190339287,0.405800698477307,0.351426843089638,0.249677277678408,138.549254398817,124.686326909637,215.353779117792,22.0747149871152,32.8274342785155,43.398463336143,47.5875741806983,43.6816441521174,20.6932493217383,22.0389232362311,23.0060571105889,22.016391976934
"10",1030702,"2020-09-01","lira_kato",231,360.059059153563,7.69873699752618,39,0,0,0.0760999238920549,1.3045974160164,11.6195340050747,1.48015000397077,1081.60117197278,0,67.5420203541379,51.5248679868243,0.407610372455194,0.402692297024951,0.410774804032377,0.392620225316038,152.687303323926,219.940459400511,146.49932014485,112.228498859501,28.1442509129766,28.0046450308558,28.9289131465019,27.8603341686602,18.6433415970231,19.0206592243501,18.4634815371049,17.6120482770371
"11",1030702,"2020-07-01","lira_kato",347,360.059059153563,11.5647694291843,37,0,0,0.0760999238920549,1.3045974160164,11.6195340050747,1.48015000397077,1081.60117197278,0,67.5420203541379,51.5248679868243,0.410774804032377,0.392620225316038,0.409769190339287,0.405800698477307,146.49932014485,112.228498859501,138.549254398817,124.686326909637,28.9289131465019,27.8603341686602,32.8274342785155,43.398463336143,18.4634815371049,17.6120482770371,20.6932493217383,22.0389232362311
